parabola_slope,midpoint,Na_arc,Na_rad,N_col,max_mass,bridge_weight,max_L
1,-0.16,2,2,2,16.09024928307296,0.008450111679868106,0.2968164415931166
1,-0.16,2,2,10,24.76336699353079,0.029699698242817985,0.2968164415931166
1,-0.16,2,2,20,25.27643939880776,0.056390759735864965,0.2968164415931166
1,-0.16,2,10,2,316.85225911574537,0.14399366023292753,0.2968164415931166
1,-0.16,2,10,10,397.8437962492206,0.6746241270867712,0.2968164415931166
1,-0.16,2,10,20,398.26140489716244,1.3418947839321065,0.2968164415931166
1,-0.16,2,20,2,1256.7335398428465,0.5675672494612382,0.2968164415931166
1,-0.16,2,20,10,1563.0937084714653,2.690012967224126,0.2968164415931166
1,-0.16,2,20,20,1563.5082284556286,5.35909485954536,0.2968164415931166
1,-0.16,10,2,2,40.044460912728795,0.07570924344364319,0.2968164415931166
1,-0.16,10,2,10,165.61787443967944,0.09756802722649625,0.2968164415931166
1,-0.16,10,2,20,206.99132052536982,0.1242649692003826,0.2968164415931166
1,-0.16,10,10,2,474.6031254984967,0.2112527919967026,0.2968164415931166
1,-0.16,10,10,10,619.0841748382669,0.7424924560704497,0.2968164415931166
1,-0.16,10,10,20,631.9109849701949,1.409768993396624,0.2968164415931166
1,-0.16,10,20,2,1643.0885295621056,0.6348263812250132,0.2968164415931166
1,-0.16,10,20,10,1788.2643470402265,2.757881296207804,0.2968164415931166
1,-0.16,10,20,20,1799.2405169704514,5.426969069009878,0.2968164415931166
1,-0.16,20,2,2,36.33616714225746,0.28589403020544035,0.2968164415931166
1,-0.16,20,2,10,207.5244081165313,0.30965655530049085,0.2968164415931166
1,-0.16,20,2,20,434.6630691528618,0.3363718737770002,0.2968164415931166
1,-0.16,20,10,2,689.5089544752748,0.42143757875849974,0.2968164415931166
1,-0.16,20,10,10,1253.0578577833924,0.9545809841444441,0.2968164415931166
1,-0.16,20,10,20,1330.3940592886427,1.621875897973242,0.2968164415931166
1,-0.16,20,20,2,1898.4125019939868,0.8450111679868104,0.2968164415931166
1,-0.16,20,20,10,2476.3366993530676,2.9699698242817987,0.2968164415931166
1,-0.16,20,20,20,2527.6439398807797,5.639075973586496,0.2968164415931166
1,0.0,2,2,2,2.9220136104632255,0.0062009503988506845,0.2576941016011038
1,0.0,2,2,10,6.484546724512854,0.014826551375522416,0.25
1,0.0,2,2,20,6.4848520739269695,0.026142570550640246,0.25
1,0.0,2,10,2,2.922013610462973,0.08776462820749202,0.2576941016011038
1,0.0,2,10,10,6.484546724515698,0.30280858020351825,0.25
1,0.0,2,10,20,6.4848520739344755,0.5856930935724092,0.25
1,0.0,2,20,2,2.9220136104643215,0.3426511213594962,0.2576941016011038
1,0.0,2,20,10,6.484546724509483,1.202752420291005,0.25
1,0.0,2,20,20,6.484852073938536,2.334288478015437,0.25
1,0.0,10,2,2,28.82195095036506,0.07346008216262577,0.2576941016011038
1,0.0,10,2,10,47.42938586131314,0.08268175556006459,0.25
