parabola_slope,midpoint,Na_arc,Na_rad,N_col,max_mass,bridge_weight,max_L
1,-0.16,20,10,2,689.5089544752748,0.42143757875849974,0.2968164415931166
4,0.16,10,10,10,649.5391420345509,0.4803112435084783,0.2968164415931166
1,0.0,20,10,2,629.1314899661991,0.36520854673306424,0.2576941016011038
1,-0.16,10,10,2,474.6031254984967,0.2112527919967026,0.2968164415931166
1,-0.16,20,2,20,434.6630691528618,0.3363718737770002,0.2968164415931166
1,-0.16,2,10,2,316.85225911574537,0.14399366023292753,0.2968164415931166
4,0.16,2,10,10,286.27571040781106,0.38386099178875766,0.2968164415931166
1,-0.16,20,2,10,207.5244081165313,0.30965655530049085,0.2968164415931166
1,-0.16,10,2,20,206.99132052536982,0.1242649692003826,0.2968164415931166
4,0.0,20,2,20,180.38294079266913,0.4522591220606215,0.25
4,0.0,10,2,20,180.38294079266433,0.15076228502924666,0.25
1,-0.16,10,2,10,165.61787443967944,0.09756802722649625,0.2968164415931166
1,0.0,10,10,10,162.11366811282267,0.3706637843880604,0.25
1,0.0,10,20,2,157.28287249155196,0.4099102531232713,0.2576941016011038
1,0.0,10,10,2,157.2828724915505,0.1550237599712671,0.2576941016011038
4,0.16,20,2,20,152.36258803772984,0.4316097799267869,0.2968164415931166
4,0.0,20,2,10,94.85877172262563,0.42691508735807937,0.25
4,0.0,10,2,10,94.85877172262471,0.1256701568491468,0.25
4,0.16,20,2,10,94.43414257359137,0.41706973808418724,0.2968164415931166
6,0.16,10,2,20,91.87886380273783,0.1715996614955662,0.2968164415931454
4,0.16,10,2,20,91.0750946798765,0.13007638729952054,0.2968164415931166
1,0.0,20,2,20,90.19147039634791,0.30611114759922803,0.25
1,0.0,10,2,20,90.1914703963341,0.09401374074423728,0.25
4,0.16,10,2,10,68.31984405086097,0.11566270146005987,0.2968164415931166
6,0.16,10,2,10,62.97951754454933,0.15001097711254568,0.2968164415931454
1,0.0,20,2,10,47.42938586131398,0.29472926863675886,0.25
1,0.0,10,2,10,47.42938586131314,0.08268175556006459,0.25
1,-0.16,10,2,2,40.044460912728795,0.07570924344364319,0.2968164415931166
1,-0.16,20,2,2,36.33616714225746,0.28589403020544035,0.2968164415931166
1,0.0,20,2,2,28.821950950365075,0.2836448689244229,0.2576941016011038
1,0.0,10,2,2,28.82195095036506,0.07346008216262577,0.2576941016011038
1,-0.16,2,2,20,25.27643939880776,0.056390759735864965,0.2968164415931166
1,-0.16,2,2,10,24.76336699353079,0.029699698242817985,0.2968164415931166
4,0.0,2,2,20,22.45810296425258,0.05428329717920672,0.25
4,0.0,2,2,10,22.43603577794646,0.029271779086288384,0.25
1,-0.16,2,2,2,16.09024928307296,0.008450111679868106,0.2968164415931166
6,0.16,2,2,20,13.341418846763561,0.04870265738572017,0.2968164415931454
6,0.16,2,2,10,13.04177017532092,0.027283140435402215,0.2968164415931454
4,0.16,2,2,10,11.033341755591533,0.019212449740339133,0.2968164415931166
4,0.16,2,2,20,10.92211232659138,0.0335857016587953,0.2968164415931166
1,0.0,2,2,20,6.4848520739269695,0.026142570550640246,0.25
1,0.0,2,10,10,6.484546724515698,0.30280858020351825,0.25
1,0.0,2,2,10,6.484546724512854,0.014826551375522416,0.25
1,0.0,2,20,2,2.9220136104643215,0.3426511213594962,0.2576941016011038
1,0.0,2,2,2,2.9220136104632255,0.0062009503988506845,0.2576941016011038
1,0.0,2,10,2,2.922013610462973,0.08776462820749202,0.2576941016011038
